Seating Interest (Sidewalk/Roadway/Both),Restaurant Name,Legal Business Name,Doing Business As (DBA),Building Number,Street,Borough,Postcode,Business Address,Sidewalk Dimensions (Area),Roadway Dimensions (Area),Approved for Sidewalk Seating,Approved for Roadway Seating,Qualify Alcohol,Landmark District or Building,landmarkDistrict_terms,Latitude,Longitude,NTA
roadway,DONOVANS OF BAYSIDE,DONOVANS OF BAYSIDE LLC,DONOVANS OF BAYSIDE LLC,214-16,41 AVE,Queens,11361,"214-16  41 AVE, Queens, NY",,320,no,yes,yes,no,,40.763658,-73.770565,Bayside-Bayside Hills
sidewalk,GOLD STAR BEER COUNTER,BIERENDELI'S LLC,GOLD STAR BEER COUNTER,undefined,340 STERLING PLACE,Brooklyn,11238,"340 STERLING PLACE, Brooklyn, NY",1720,,yes,no,yes,yes,yes,40.675347,-73.966865,Prospect Heights
roadway,Joes Pizza,Joes Pizza Bedford LLC,Joes Pizza,216,bedford ave,Brooklyn,11249,"216 bedford ave, Brooklyn, NY",,256,no,yes,no,no,,40.716815,-73.958833,North Side-South Side
sidewalk,Drunken horse,Az holding corporation,Drunken horse,225,10th avenue,Manhattan,10011,"225  10th avenue, Manhattan, NY",140,,yes,no,yes,no,,40.747917,-74.004013,Hudson Yards-Chelsea-Flatiron-Union Square
roadway,NELLO,MADISON GLOBAL LLC,NELLO,undefined,696 MADISON AVENUE,Manhattan,10065,"696 MADISON AVENUE, Manhattan, NY",,240,no,yes,yes,no,,40.765713,-73.969874,Upper East Side-Carnegie Hill
sidewalk,SOMOON,"SOMOON, CORP.",SOMOON,undefined,41-04 162 STREET,Queens,11358,"41-04 162 STREET, Queens, NY",90,,yes,no,yes,no,,40.761205,-73.803881,Murray Hill
both,American Bar,BLF big apple LLC,American Bar,33,greenwich avenue,Manhattan,10014,"33  greenwich avenue , Manhattan, NY",720,640,yes,yes,yes,yes,yes,40.735086,-74.000231,West Village
roadway,Dos Caminos Soho,475 Soho LLC,Dos Caminos Soho,475 477,West Broadway,Manhattan,10012,"475 477 West Broadway, Manhattan, NY",,210,no,yes,yes,yes,yes,,,
roadway,South,Everyday Drinks LLC,South,629,5th ave,Brooklyn,11215,"629 5th ave, Brooklyn, NY",,136,no,yes,yes,no,,40.663304,-73.991375,Park Slope-Gowanus
roadway,CALEXICO,"CALEXICO CARNE ASADA, LLC",Calexico,undefined,645 MANHATTAN AVENUE,Brooklyn,11222,"645 MANHATTAN AVENUE, Brooklyn, NY",,224,no,yes,yes,no,,40.724363,-73.95114,Greenpoint
both,Rockaway West Indian Roti Shop,Rockaway Roti Shop,Rockaway Roti Shop,12221,Rockaway Blvd q,Queens,11420,"12221 Rockaway Blvd q, Queens, NY",105,200,yes,yes,no,no,,,,
both,SETTE MEZZO,GENIOR INC,SETTE MEZZO,969,LEXINGTON AVE,Manhattan,10021,"969 LEXINGTON AVE, Manhattan, NY",100,160,yes,yes,yes,yes,yes,40.769334,-73.962988,Upper East Side-Carnegie Hill
both,hotpot 828,hotpot 828 inc,hotpot 828 inc,828,64th ST,Brooklyn,11220,"828  64th ST, Brooklyn, NY",280,350,yes,yes,yes,no,,40.632763,-74.011144,Sunset Park East
both,Kaffe 1668,Kaffe 2 Inc.,Kaffe 1668,401,Greenwich Street,Manhattan,10013,"401 Greenwich Street, Manhattan, NY",130,104,yes,yes,no,no,,40.720931,-74.010022,SoHo-TriBeCa-Civic Center-Little Italy
roadway,Taishan Tofu pot,Naruto Japanese restaurant inc,Taishan Tofu Pot,133-53,37 avenue,Queens,11354,"133-53 37 avenue, Queens, NY",,210,no,yes,yes,no,,40.760911,-73.832872,Flushing
both,POPS RESTAURANT,8522 JAMAICA AVENUE CORP,POPS RESTAURANT,8522,JAMAICA AVE,Queens,11421,"8522 JAMAICA AVE, Queens, NY",135,216,yes,yes,yes,no,,40.692527,-73.858812,Woodhaven
both,Latin Cabana,Chango ochun enterprises inc,Latin Cabana,34-15,Steinway Street,Queens,11101,"34-15  Steinway Street , Queens, NY",459,189,yes,yes,no,no,,40.756289,-73.921169,Astoria
sidewalk,718 Bistro,718 Bistro Inc.,718 Bistro Inc.,350,Neptune Ave,Brooklyn,11235,"350 Neptune Ave, Brooklyn, NY",520,,yes,no,no,no,,40.58075,-73.965609,Brighton Beach
roadway,Stop Inn Restaurant & Cafe,60-22 Restaurant Corp,Stop Inn Restaurant & Cafe,60-22,Roosevelt Ave,Queens,11377,"60-22  Roosevelt Ave, Queens, NY",,400,no,yes,no,no,,40.745506,-73.904122,Woodside
both,The Factory,Mifra Corp,The factory,779,Wyckoff Ave,Queens,11385,"779 Wyckoff Ave, Queens, NY",328,96,yes,yes,yes,no,,40.698572,-73.909325,Ridgewood
sidewalk,Rollin Greens,FGDR Restaurant Corp.,7527264515,247-77,Jamaica Avenue,Queens,11426,"247-77 Jamaica Avenue, Queens, NY",500,,yes,no,yes,no,,40.725853,-73.71902,Bellerose
sidewalk,cafe bench,cafe bench Inc,cafe bench Inc,194-09,Northern  blvd,Queens,11358,"194-09 Northern  blvd, Queens, NY",266,,yes,no,no,no,,40.757918,-73.787417,Auburndale
sidewalk,Delight Diner and Donuts,CIMA Donuts,CIMA Donuts,66-91,Fresh Pond Road,Brooklyn,11385,"66-91  Fresh Pond Road, Brooklyn, NY",117,,yes,no,no,no,,40.706211,-73.896785,Ridgewood
both,Hexagon Lounge,Hexagon Lounge INC,Hexagon Lounge INC,318,142 street,Manhattan,10030,"318  142 street , Manhattan, NY",162,120,yes,yes,yes,no,,40.821064,-73.943684,Central Harlem North-Polo Grounds
both,EXITO BAR & LOUNGE CORP.,EXITO BAR & LOUNGE CORP.,EXITO CAFE,960,EAST 165TH STREET,Bronx,10459,"960 EAST 165TH STREET , Bronx, NY",1500,400,yes,yes,yes,no,,40.823937,-73.894723,Longwood
both,B.B.'s Bar and Grill,BPP Incorporated,Sheehan's Public House,460949215,"17157 46th Avenue, Flushing, NY 11358",Queens,11358,"460949215 17157 46th Avenue, Flushing, NY 11358, Queens, NY",496,192,yes,yes,yes,no,,,,
both,Reina Restaurant,Reina Restaurant,Reina Restaurant,1969,University Avenue,Bronx,10453,"1969  University Avenue, Bronx, NY",96,80,yes,yes,yes,no,,40.854324,-73.911824,University Heights-Morris Heights
both,LES Crepes,Oli And Aurel LLC,Oli And Aurel LLC,25,Essex Street Front A,Manhattan,10002,"25 Essex Street Front A, Manhattan, NY",153,408,yes,yes,no,no,,,,
both,Edo Japanese Restaurant,Ode 2 Japanese INC,Edo Japanese Restaurant,9,E17th street,Manhattan,10003,"9  E17th street, Manhattan, NY",56,112,yes,yes,yes,yes,yes,40.737624,-73.991491,Hudson Yards-Chelsea-Flatiron-Union Square
both,TESSA,BT Restaurant Enterprises LLC,TESSA,349,Amsterdam Avenue,Manhattan,10024,"349 Amsterdam Avenue, Manhattan, NY",228,152,yes,yes,yes,yes,yes,40.781607,-73.979436,Upper West Side
both,ENJOY KITCHEN & GRILL CORP,ENJOY KITCHEN & GRILL CORP,ENJOY KITCHEN & BAR,582,WEST 207TH STREET,Manhattan,10034,"582 WEST 207TH STREET, Manhattan, NY",972,496,yes,yes,yes,no,,40.866937,-73.920737,Marble Hill-Inwood
both,Forge Restaurant LLC,Marc Forgione,Marc Forgione,134,Reade Street,Manhattan,10013,"134 Reade Street, Manhattan, NY",387,320,yes,yes,yes,no,,40.716399,-74.00965,SoHo-TriBeCa-Civic Center-Little Italy
sidewalk,Maria Bonita Bakery Juice Bar,Maria Bonita Bakery Juice Bar,Maria Bonita Bakery Juice Bar,42,West Fordham Road,Bronx,10468,"42 West Fordham Road, Bronx, NY",168,,yes,no,no,no,,40.862699,-73.903002,Kingsbridge Heights
sidewalk,win son,winsome foods llc,winsome foods llc,159,graham ave,Brooklyn,11206,"159 graham ave, Brooklyn, NY",180,,yes,no,yes,no,,40.707446,-73.943232,East Williamsburg
both,EL VALLE F & G RESTAURANT CORP,EL VALLE F & G RESTAURANT CORP,EL VALLE F & G RESTAURANT CORP,2448,JEROME AVENUE,Bronx,10468,"2448 JEROME AVENUE, Bronx, NY",837,216,yes,yes,yes,no,,40.862267,-73.901455,Fordham South
both,Smith street bagels,Mocha 1 Corp,smith street bagels,202,smith street,Brooklyn,11201,"202 smith street, Brooklyn, NY",400,200,yes,yes,no,no,,40.684722,-73.991837,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
roadway,Chelsea Ristorante,Tutto Bene Restauarant Inc,Tutto Bene Restauarant Inc,108,8th ave,Manhattan,10011,"108 8th ave, Manhattan, NY",,200,no,yes,yes,no,,40.740682,-74.001833,Hudson Yards-Chelsea-Flatiron-Union Square
both,White Horse Hospitality LLC,White Horse Hospitality LLC,White Horse Tavern,567,Hudson St.,Manhattan,10014,"567 Hudson St., Manhattan, NY",781,568,yes,yes,yes,yes,yes,40.735742,-74.005986,West Village
sidewalk,Tequila Chitos Mexican Bar & Grill,Tequila Chitos Mexican Grill Inc.,Tequila Chitos Mexican Grill Inc.,358,W 23rd Street,Manhattan,10011,"358 W 23rd Street, Manhattan, NY",136,,yes,no,yes,no,,40.745963,-74.000094,Hudson Yards-Chelsea-Flatiron-Union Square
sidewalk,PJ Carney's,Fitzgerald Edibles Inc.,P.J. Carney's,906,Seventh Avenue,Manhattan,10019,"906 Seventh Avenue, Manhattan, NY",1120,,yes,no,yes,yes,yes,40.765745,-73.979885,Midtown-Midtown South
sidewalk,Club A Steakhouse,Bruno & Sons Inc,Club A Steakhouse,240,East 58th Street,Manhattan,10022,"240 East 58th Street, Manhattan, NY",600,,yes,no,yes,no,,40.760483,-73.966014,Turtle Bay-East Midtown
roadway,Cafe Integral,Cafe Integral Elizabeth LLC,Cafe Integral Elizabeth LLC,149,Elizabeth Street,Manhattan,10012,"149  Elizabeth Street, Manhattan, NY",,160,no,yes,no,no,,40.720305,-73.995105,SoHo-TriBeCa-Civic Center-Little Italy
sidewalk,3 Dollar Bill,260 Meserole Corp,3 Dollar Bill,260,Meserole,Brooklyn,11206,"260 Meserole, Brooklyn, NY",240,,yes,no,yes,no,,,,
both,Toscana49,143cafe inc,Toscana49,143,East 49th street,Manhattan,10017,"143 East 49th street , Manhattan, NY",256,160,yes,yes,yes,no,,40.755651,-73.972279,Turtle Bay-East Midtown
both,The Mean Fiddler,Castleknock Inc,Castleknock Inc,266,W 47th,Manhattan,10036,"266 W 47th, Manhattan, NY",559,288,yes,yes,yes,no,,,,
sidewalk,PIATTO LIC,PIATTO LLC,PIATTO,18264,50th Avenue,Queens,11101,"1-50  50th Avenue, Queens, NY",400,,yes,no,yes,no,,40.743642,-73.958878,Hunters Point-Sunnyside-West Maspeth
sidewalk,Don Chile Mexican Grill,Don Chile Mexican Grill Corp,Don Chile Mexican Grill Corp,801,Southern Boulevard,Bronx,10459,"801 Southern Boulevard , Bronx, NY",1080,,yes,no,no,no,,40.816456,-73.896086,Hunts Point
sidewalk,Overlook,44th street nyc inc,Overlook,225,east 44th street,Manhattan,10017,"225  east 44th street, Manhattan, NY",20,,yes,no,yes,no,,40.751768,-73.972779,Turtle Bay-East Midtown
both,Canary Club,303 Canary LLC,Canary Club,303,Broome,Manhattan,10002,"303 Broome, Manhattan, NY",50,200,yes,yes,yes,no,,40.718729,-73.992248,Chinatown
sidewalk,SHORTY'S ROTI SHOP,Shorty's Roti Shop,Shorty's Roti Shop,65,Victory Blvd,Staten Island,10301,"65 Victory Blvd , Staten Island, NY",324,,yes,no,no,no,,40.638193,-74.078188,West New Brighton-New Brighton-St. George
both,Action Burger,Action Burger,Action Burger,292,Graham ave,Brooklyn,11211,"292 Graham ave, Brooklyn, NY",3128,480,yes,yes,yes,no,,40.712271,-73.944003,East Williamsburg
both,Two Hands Williamsburg,Two Hands Williamsburg LLC,Two Hands Williamsburg,262,Kent Ave,Brooklyn,11249,"262 Kent Ave, Brooklyn, NY",480,208,yes,yes,yes,no,,40.716334,-73.965983,North Side-South Side
roadway,Rabbit House Omakase & Japanese Bar,Rabbit Box Hospitality LLC,Rabbit House restraurant & bar,41,Essex Street,Manhattan,10002,"41 Essex Street , Manhattan, NY",,80,no,yes,yes,no,,40.716201,-73.989431,Chinatown
sidewalk,Mama's Coffee Shop and Restaurant,MAMAS COFFEE SHOP CORP,MAMAS COFFEE SHOP CORP,1301,40th avenue,Queens,11101,"1301 40th avenue, Queens, NY",90,,yes,no,no,no,,40.755594,-73.941924,Queensbridge-Ravenswood-Long Island City
sidewalk,Diamond Reef,1057 Atlantic Avenuem LLC,Diamond Reef,1057,Atlantic Avenue,Brooklyn,11238,"1057 Atlantic Avenue, Brooklyn, NY",935,,yes,no,yes,no,,40.679504,-73.956678,Clinton Hill
both,CYPRESS CAFE LLC,CYPRESS CAFE LLC,CYPRESS CAFE LLC,undefined,1702 STANHOPE STREET,Queens,11385,"1702 STANHOPE STREET, Queens, NY",240,200,yes,yes,yes,no,,40.705809,-73.915313,Ridgewood
both,Shanghai Red,127 WESTCHESTER SQ RESTAURANT LLC,127 WESTCHESTER SQ RESTAURANT LLC,127-129,WESTCHESTER AVE,Bronx,10461,"127-129 WESTCHESTER AVE, Bronx, NY",700,80,yes,yes,yes,no,,40.840252,-73.842499,Westchester-Unionport
both,Memphis Seoul,Memphis Seoul,Memphis Seoul,569,Lincoln Place,Brooklyn,11238,"569 Lincoln Place, Brooklyn, NY",250,152,yes,yes,yes,no,,40.671586,-73.957855,Crown Heights North
sidewalk,The Storehouse,MBG Taverns Inc,The Storehouse,69 W,23rd Street,Manhattan,10010,"69 W 23rd Street, Manhattan, NY",253,,yes,no,yes,yes,yes,40.742422,-73.99162,Hudson Yards-Chelsea-Flatiron-Union Square
sidewalk,Jody's Club Forest,415 Forest Rest INC,Jody's Club Forest,372,Forest Ave,Staten Island,10301,"372 Forest Ave, Staten Island, NY",900,,yes,no,yes,no,,40.631016,-74.101896,New Brighton-Silver Lake
sidewalk,Los Tacos No.1,LTN1 Church LLC,Los Tacos No.1,136,Church St.,Manhattan,10007,"136 Church St. , Manhattan, NY",450,,yes,no,no,no,,40.714217,-74.008513,SoHo-TriBeCa-Civic Center-Little Italy
sidewalk,Giulianas,Jpgiulianasinc.,Jpgiulianasinc.,4105,Hylan blvd,Staten Island,10308,"4105 Hylan blvd, Staten Island, NY",300,,yes,no,yes,no,,40.539729,-74.148197,Great Kills
roadway,The Calaveras Cafe,THe Calaveras Group LLC,THe Calaveras Cafe,947,Columbus Avenue,Manhattan,10025,"947  Columbus Avenue, Manhattan, NY",,80,no,yes,no,no,,40.799545,-73.962632,Morningside Heights
both,Lee's Tavern,Lee's Tavern INC.,Lee's Tavern,60,Hancock St,Staten Island,10305,"60  Hancock St, Staten Island, NY",666,240,yes,yes,yes,no,,40.588851,-74.09534,Old Town-Dongan Hills-South Beach
both,La Panineria,MISTER BUY CORP,La Panineria,undefined,9 EAST    8 STREET,Manhattan,10003,"9 EAST    8 STREET, Manhattan, NY",154,128,yes,yes,yes,yes,yes,40.732009,-73.995746,West Village
roadway,Petisco Vegano,Dishful Inc.,Dishful Inc.,189,East Broadway,Manhattan,10002,"189 East Broadway, Manhattan, NY",,112,no,yes,yes,no,,40.71417,-73.988796,Lower East Side
roadway,XO Taste Inc.,XO Taste Inc.,XO Taste Inc.,41,Elizabeth Street,Manhattan,10013,"41 Elizabeth Street, Manhattan, NY",,120,no,yes,no,no,,40.716833,-73.996815,SoHo-TriBeCa-Civic Center-Little Italy
sidewalk,VR Worldbar,VR Worldbar LLC,VR Worldbar LLC,8,34th Street,Manhattan,7024,"8 34th Street, Manhattan, NY",120,,yes,no,yes,no,,,,
both,Tender Steak and Sushi Lab,Logans Sanctuary LLC,Tender Steak and Sushi Lab,130 - 132,West 47 Street,Manhattan,10036,"130 - 132 West 47 Street, Manhattan, NY",192,400,yes,yes,yes,no,,40.758445,-73.982829,Midtown-Midtown South
sidewalk,Sottocasa Pizzeria,Sottocasa inc,Sottocasa,298,Atlantic Avenue,Brooklyn,11201,"298 Atlantic Avenue, Brooklyn, NY",40,,yes,no,yes,no,,40.688416,-73.988678,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
sidewalk,Roti corner inc.,Roti corner inc.,Roti corner inc.,180-18,Hillside ave,Queens,11432,"180-18 Hillside ave , Queens, NY",72,,yes,no,yes,no,,40.713042,-73.782171,Jamaica
sidewalk,The Punch Bowl,"Mulgriff Tavern, Inc.","Mulgriff Tavern, Inc.",5820,5820 Broadway,Bronx,10463,"5820 5820 Broadway, Bronx, NY",343,,yes,no,yes,no,,,,
both,Gotan,Gotan Tribeca LLC,Gotan,130,Franklin St,Manhattan,10013,"130  Franklin St, Manhattan, NY",950,0,yes,yes,no,yes,yes,40.71913,-74.006861,SoHo-TriBeCa-Civic Center-Little Italy
sidewalk,BARACHOU,BARACHOU NYC LLC,BARACHOU,449,Amsterdam Avenue,Manhattan,10024,"449 Amsterdam Avenue, Manhattan, NY",72,,yes,no,no,yes,yes,40.784777,-73.977124,Upper West Side
sidewalk,Angela's Pizzeria,A N V Pizzeria & Restaurant Corp,Angela's Pizzeria,3435,fulton street,Brooklyn,11208,"3435  fulton street , Brooklyn, NY",110,,yes,no,no,no,,40.684587,-73.868929,Cypress Hills-City Line
both,SAPPORO,AM SUSHI RESTAURANT INC,AM SUSHI RESTAURANT INC,7812,3RD AVE,Brooklyn,11209,"7812  3RD AVE, Brooklyn, NY",320,160,yes,yes,no,no,,40.629126,-74.028756,Bay Ridge
sidewalk,Cafe con Amor,Cafe con Amor,Cafe con Amor,64-16,Roosevelt Ave,Queens,11377,"64-16  Roosevelt Ave, Queens, NY",120,,yes,no,no,no,,40.745961,-73.89978,Woodside
roadway,SHILINXIANG SEAFOOD RESTAURANT,SHILINXIANG SEAFOOD INC,SHILINXIANG SEAFOOD INC,13532,40TH ROAD,Queens,11354,"13532 40TH ROAD, Queens, NY",,60,no,yes,no,yes,yes,40.758856,-73.830116,Flushing
both,Igloo rolls,Anfloke inc.,Anfloke inc.,102 22,39th ave,Queens,11368,"102 22 39th ave , Queens, NY",6,4,yes,yes,no,yes,yes,40.750611,-73.863269,North Corona
both,The Churchill,Rose & Crown Cafe Ltd,The Churchill,45,E 28th street,Manhattan,10016,"45 E 28th street , Manhattan, NY",108,144,yes,yes,yes,no,,40.743783,-73.985139,Midtown-Midtown South
both,LONE WOLF,TAVERN 1089 CORP,LONE WOLF,1089,BROADWAY,Brooklyn,11221,"1089 BROADWAY, Brooklyn, NY",242,176,yes,yes,yes,no,,40.694374,-73.9306,Bushwick South
both,The Rosemont,63 Montrose LLC,The Rosemont,63,Montrose Ave.,Brooklyn,11206,"63 Montrose Ave., Brooklyn, NY",380,152,yes,yes,yes,no,,40.706932,-73.947434,East Williamsburg
sidewalk,"Riverdale Apple, LLC","Riverdale Apple, LLC",Applebee's Neighborhood Grill & Bar,76,West 225th St,Bronx,10463,"76 West 225th St, Bronx, NY",920,,yes,no,yes,no,,40.874059,-73.908959,Marble Hill-Inwood
both,Maman Nomad,Maman Nomad LLC,Maman Nomad LLC,22W.,25th Street,Manhattan,10013,"22W. 25th Street, Manhattan, NY",75,200,yes,yes,no,no,,,,
both,EL NUEVO TENAMPA RESTAURANT,EL NUEVOTENAMPA RESTAURANTE INC,EL NUEVO TENAMPA RESTAURANT,undefined,2765 WEBSTER AVENUE,Bronx,10458,"2765 WEBSTER AVENUE, Bronx, NY",96,96,yes,yes,yes,no,,40.86575,-73.886251,Bedford Park-Fordham North
roadway,Brado Thin Crust Pizza,"Brooklyn Thin Crust, Inc.",Brado Thin Crust Pizza,155,Atlantic Avenue,Brooklyn,11201,"155 Atlantic Avenue, Brooklyn, NY",,144,no,yes,yes,yes,yes,40.69042,-73.994981,Brooklyn Heights-Cobble Hill
both,Pita Pan,Get Me To The Greek LLC,sLICe Astoria,37-15,30th Avenue,Queens,11103,"37-15 30th Avenue, Queens, NY",90,120,yes,yes,no,no,,40.764556,-73.916383,Astoria
both,Ground Support,Green Ocean LLC,Green Ocean LLC,399,W Broadway,Manhattan,10012,"399  W Broadway , Manhattan, NY",240,240,yes,yes,no,yes,yes,40.724304,-74.002129,SoHo-TriBeCa-Civic Center-Little Italy
roadway,Angel of Harlem,Angel of Harlem LLC,Angel of Harlem LLC,2272,Frederick Douglass Boulevard,Manhattan,10027,"2272  Frederick Douglass Boulevard , Manhattan, NY",,560,no,yes,yes,no,,40.808166,-73.952625,Central Harlem South
sidewalk,Old Man Hustle,EDMANHUSTLE LLC,EDMANHUSTLE LLC,39,essex st,Manhattan,10002,"39 essex st, Manhattan, NY",84,,yes,no,yes,no,,40.716135,-73.989467,Chinatown
both,lionel GUY BREMOND,Bande a Part LLC,Petit Paulette,136,Dekalb ave,Brooklyn,11217,"136  Dekalb ave, Brooklyn, NY",720,384,yes,yes,yes,yes,yes,40.689723,-73.975956,Fort Greene
sidewalk,Sottocasa Pizzeria Harlem,Pappa & Ciccia inc,Sottocasa Pizzeria Harlem,227,Lenox Avenue,Manhattan,10027,"227 Lenox Avenue, Manhattan, NY",120,,yes,no,yes,yes,yes,40.805457,-73.94719,Central Harlem South
sidewalk,My Second Wife,My Second Wife,My Second Wife,169-04,Hillside Avenue,Queens,11432,"169-04 Hillside Avenue, Queens, NY",126,,yes,no,no,no,,40.710767,-73.792855,Jamaica
both,The Uncommons,Uncommons LLC,THE UNCOMMONS,230,Thompson,Manhattan,10012,"230 Thompson, Manhattan, NY",120,288,yes,yes,yes,yes,yes,,,
sidewalk,La Mitad Del Mundo Bar  Restaurant Corp,La Mitad Del Mundo Bar Restaurant Corp,La Mitad Del Mundo Bar Restaurant Corp,104-10,Roosevelt Ave,Queens,11368,"104-10 Roosevelt Ave, Queens, NY",171,,yes,no,yes,no,,40.749989,-73.861408,North Corona
roadway,Renaissance Harlem,Renaissance Harlem Corp,Renaissance Harlem,2245,Adam Clayton Powell Jr. Blvd,Manhattan,10030,"2245 Adam Clayton Powell Jr. Blvd, Manhattan, NY",,144,no,yes,yes,no,,40.813479,-73.945027,Central Harlem North-Polo Grounds
both,Brooklyn chop house,Dp hospitality group llc,Dp hospitality group llc,150,nassau street,Manhattan,10038,"150 nassau street, Manhattan, NY",260,200,yes,yes,yes,yes,yes,40.711541,-74.006027,Battery Park City-Lower Manhattan
sidewalk,Sticky Rice,Sticky Rice,Orchard 85 Corp,85,Orchard Street,Manhattan,10002,"85 Orchard Street, Manhattan, NY",78,,yes,no,yes,no,,40.717873,-73.990375,Chinatown
both,Sen Sakana,28 West 44th Restaurant LLC.,Sen Sakana,28,W 44th,Manhattan,10036,"28 W 44th, Manhattan, NY",364,224,yes,yes,yes,no,,,,
both,Joloff Restaurant 2,Joloff Restaurant 2 Inc,Joloff Restaurant 2,1168,Bedford Avenue,Brooklyn,11216,"1168  Bedford Avenue , Brooklyn, NY",68,136,yes,yes,no,yes,yes,40.684098,-73.954068,Clinton Hill
both,Three Guys Restaurant,AZK Restaurant Inc,Three Guys Restaurant,49,E 96,Manhattan,10029,"49  E 96, Manhattan, NY",680,320,yes,yes,yes,no,,,,
both,614 MELROSE RESTAURANT CORP,614 MELROSE RESTAURANT CORP,PARRILLA LATINA STEAKHOUSE,614,MELROSE AVE,Bronx,10455,"614 MELROSE AVE, Bronx, NY",192,256,yes,yes,yes,no,,40.817618,-73.917057,Melrose South-Mott Haven North
sidewalk,The New Portales Taqueria Corp,The New Portales Taqueria Corp,The New Portales Taqueria Corp,2508A,Broadway,Queens,11106,"2508A  Broadway, Queens, NY",252,,yes,no,no,no,,40.763304,-73.928214,Astoria
sidewalk,Sizzle Falafel bar,redfoodcorp,redfoodcorp,186-15,Union turnpike,Queens,11366,"186-15 Union turnpike , Queens, NY",120,,yes,no,no,no,,40.728716,-73.782708,Fresh Meadows-Utopia
both,FIVE MILE STONE,COLIEMORE INC,FIVE MILE STONE,1640,2ND AVE,Manhattan,10028,"1640 2ND AVE, Manhattan, NY",210,240,yes,yes,yes,no,,40.777293,-73.952155,Yorkville
sidewalk,dunkin donuts,NYC 159 FOODS INC,dunkin donuts,1995,Amsterdam Avenue,Manhattan,10032,"1995  Amsterdam Avenue, Manhattan, NY",36,,yes,no,no,no,,40.83392,-73.941248,Washington Heights South
both,Merchants NY,190 Seventh Avenue LLC,Merchants NY,190,7th Avenue,Manhattan,10011,"190 7th Avenue, Manhattan, NY",95,432,yes,yes,yes,no,,40.742988,-73.996463,Hudson Yards-Chelsea-Flatiron-Union Square
both,How Greek It Is,TMCD INC.,How Greek It Is,2224,Hylan Blvd,Staten Island,10306,"2224 Hylan Blvd, Staten Island, NY",144,288,yes,yes,no,no,,40.57622,-74.103961,New Dorp-Midland Beach
both,Hamilton's Cafe,Hamilton's VPK LLC,Hamilton's VPK LLC,3570,Broadway,Manhattan,10031,"3570 Broadway, Manhattan, NY",243,243,yes,yes,yes,no,,40.827438,-73.949702,Hamilton Heights
both,191 KNICKERBOCKER AVENUE,"BIG HUMBLE, LLC",King Wang's,undefined,191 KNICKERBOCKER AVENUE,Brooklyn,11237,"191 KNICKERBOCKER AVENUE, Brooklyn, NY",322,368,yes,yes,yes,no,,40.703737,-73.926998,Bushwick North
sidewalk,Bodrum Turkish Meditrranean Restaurant,TB 584 AMSTERDAM REST. CORP,Bodrum Turkish Mediterranean Restaurant,584,AMSTERDAM AVE,Manhattan,10024,"584  AMSTERDAM AVE, Manhattan, NY",480,,yes,no,yes,no,,40.78916,-73.973952,Upper West Side
both,Ben & Teena's Ice Cream,Ben & Teena's Ice Cream,Ben & Teena's Ice Cream,39-33,Bell Blvd,Queens,11361,"39-33 Bell Blvd, Queens, NY",32,32,yes,yes,no,no,,40.764925,-73.771669,Bayside-Bayside Hills
both,Bea,Zonea Food and beverage Inc.,Zonea Food and beverage Inc.,403,43rd st,Manhattan,10036,"403 43rd st, Manhattan, NY",80,160,yes,yes,yes,no,,,,
